Bin Center,Frequency
-8789.257812,3
-8509.773438,2
-8230.289062,3
-7950.804688,2
-7671.320312,6
-7391.835938,4
-7112.351562,7
-6832.867188,17
-6553.382812,18
-6273.898438,45
-5994.414062,60
-5714.929688,90
-5435.445312,120
-5155.960938,191
-4876.476562,286
-4596.992188,380
-4317.507812,563
-4038.023438,757
-3758.539062,1160
-3479.054688,1656
-3199.570312,2314
-2920.085938,3260
-2640.601562,4499
-2361.117188,6476
-2081.632812,9727
-1802.148438,14794
-1522.664062,22950
-1243.179688,36772
-963.6953125,60558
-684.2109375,100041
-404.7265625,160585
-125.2421875,232029
154.2421875,226817
433.7265625,154863
713.2109375,94341
992.6953125,57802
1272.179688,34535
1551.664062,21917
1831.148438,13995
2110.632812,9412
2390.117188,6317
2669.601562,4308
2949.085938,3109
3228.570312,2236
3508.054688,1567
3787.539062,1091
4067.023438,749
4346.507812,567
4625.992188,368
4905.476562,268
5184.960938,168
5464.445312,115
5743.929688,83
6023.414062,62
6302.898438,43
6582.382812,29
6861.867188,18
7141.351562,15
7420.835938,7
7700.320312,6
7979.804688,2
8259.289062,2
8538.773438,0
8818.257812,1
